S1,DateTime,N1,AC,PS,TI,U,LN,R2
W,2018-01-04 13:50:00,N,C253,C_003,4-23-SR, ,Eaton,
W,2018-01-04 13:50:00,Y,1022,C_003,4-23-SR,U/L,Eaton,ND
W,2018-01-04 13:50:00,N,1928,C_003,4-23-SR,M/L,Eaton,
W,2018-01-04 13:50:00,N,1927,C_003,4-23-SR,M/L,Eaton,
W,2018-01-04 13:50:00,N,1032,C_003,4-23-SR,U/L,Eaton,
W,2018-01-09 10:46:00,N,1928,C_003,4-23-SR,M/L,Eaton,
W,2018-01-09 10:46:00,N,1927,C_003,4-23-SR,M/L,Eaton,
W,2018-01-09 10:46:00,N,C253,C_003,4-23-SR, ,Eaton,
W,2018-01-10 10:55:00,N,C253,C_003,4-23-SR, ,Eaton,
W,2018-01-10 10:55:00,N,1928,C_003,4-23-SR,M/L,Eaton,
W,2018-01-10 10:55:00,N,1927,C_003,4-23-SR,M/L,Eaton,
W,2018-01-10 11:30:00,N,2920,C_003,4-23-SR,M/L,Eddie,
W,2018-01-10 15:40:00,N,2456,C_002,1-502-MD,U/L,Eaton,
W,2018-01-10 15:40:00,N,2451,C_002,1-502-MD,U/L,Eaton,
W,2018-01-10 15:40:00,Y,2453,C_002,1-502-MD,U/L,Eaton,ND
W,2018-01-10 15:40:00,Y,2450,C_002,1-502-MD,U/L,Eaton,ND
W,2018-01-10 15:40:00,N,2950,C_002,1-502-MD,U/L,Eaton,
W,2018-01-10 15:40:00,N,2943,C_002,1-502-MD,U/L,Eaton,
W,2018-01-10 15:40:00,N,2454,C_002,1-502-MD,U/L,Eaton,
W,2018-01-10 15:40:00,N,2452,C_002,1-502-MD,U/L,Eaton,
W,2018-01-10 15:40:00,N,2944,C_002,1-502-MD,U/L,Eaton,
W,2018-01-10 15:40:00,N,2942,C_002,1-502-MD,U/L,Eaton,
W,2018-01-10 15:40:00,N,2941,C_002,1-502-MD,U/L,Eaton,
W,2018-01-17 11:57:00,N,2920,C_003,4-23-SR,M/L,Eddie,
W,2018-01-17 13:20:00,N,1928,C_003,4-23-SR,M/L,Eaton,
W,2018-01-17 13:20:00,N,1927,C_003,4-23-SR,M/L,Eaton,
W,2018-01-17 13:20:00,N,C253,C_003,4-23-SR, ,Eaton,
CD,2018-01-19 09:13:00,N,1005,C_012,15-87-SR,U/L,Eaton,
W,2018-01-19 10:06:00,N,1930,C_037,15-84-SR,M/L,Eaton,
CD,2018-01-19 10:06:00,Y,1005,C_037,15-84-SR,U/L,Eaton,
W,2018-01-19 10:06:00,N,1005,C_037,15-84-SR,U/L,Eaton,
W,2018-01-24 00:00:00,N,1930,C_043,15-8-SR,M/L,,
W,2018-01-24 12:55:00,N,1928,C_003,4-23-SR,M/L,Eaton,
W,2018-01-24 12:55:00,N,C253,C_003,4-23-SR, ,Eddie,
W,2018-01-24 12:55:00,N,C253,C_003,4-23-SR, ,Eaton,
W,2018-01-24 12:55:00,N,1064,C_003,4-23-SR,U/C,Eddie,
W,2018-01-24 12:55:00,N,1927,C_003,4-23-SR,M/L,Eaton,
W,2018-01-24 12:55:00,N,100,C_003,4-23-SR,N,Eddie,
W,2018-01-31 14:30:00,N,C253,C_003,4-23-SR, ,Eddie,
W,2018-01-31 14:30:00,N,2920,C_003,4-23-SR,M/L,Eddie,
W,2018-02-01 11:37:00,N,1930,C_031,15-85-SR,M/L,Eaton,
W,2018-02-01 12:44:00,N,1930,C_002,1-502-MD,M/L,Eaton,
W,2018-02-01 12:48:00,N,1927,C_003,4-23-SR,M/L,Eaton,
W,2018-02-01 12:48:00,N,2920,C_003,4-23-SR,M/L,Eaton,
W,2018-02-01 12:48:00,N,1930,C_003,4-23-SR,M/L,Eaton,
W,2018-02-01 15:15:00,N,1930,C_007,15-82-SR,M/L,Eaton,
W,2018-02-06 10:00:00,N,2920,C_003,4-23-SR,M/L,Eddie,
W,2018-02-06 10:00:00,N,C253,C_003,4-23-SR, ,Eddie,
CD,2018-02-07 10:50:00,Y,1005,C_053,15-88-SR,U/L,Eaton,
CD,2018-02-07 11:35:00,N,1005,C_048,15-35-SR,U/L,Eaton,
W,2018-02-07 13:55:00,N,2944,C_002,4-12-EP,U/L,Eaton,
W,2018-02-07 13:55:00,N,2942,C_002,4-12-EP,U/L,Eaton,
W,2018-02-07 13:55:00,N,2950,C_002,4-12-EP,U/L,Eaton,
W,2018-02-07 13:55:00,N,2941,C_002,4-12-EP,U/L,Eaton,
W,2018-02-07 13:55:00,N,2943,C_002,4-12-EP,U/L,Eaton,
W,2018-02-07 14:02:00,N,2944,C_002,1-502-MD,U/L,Eaton,
W,2018-02-07 14:02:00,N,2941,C_002,1-502-MD,U/L,Eaton,
W,2018-02-07 14:02:00,N,2942,C_002,1-502-MD,U/L,Eaton,
